name|key|game|sort|text|type|duration|img|unit_link|mana_cost|health_cost|resource1|resource2|resource3
Research Corvid Reactor|sc2_1025|sc2|1025|ncreases the starting energy of the Raven by 25. Available for research at the Tech Lab when attached to a Starport. Costs 150 minerals, 150 vespene, and requires 110 seconds to research.|||||||||
Cloaking Field|sc2_1026|sc2|1026|Allows the Banshee to Cloak itself. Costs 25 energy and drains .9 energy per second while active. Researched at the Tech Lab when attached to a Starport. Costs 100 minerals, 100 vespene gas, and requires 110 seconds to research.|||||||||
Yamato Cannon|sc2_1027|sc2|1027|"The Battlecruiser casts a 3 second ability that deals 300 damage to the target unit or structure. Costs 100 energy. Requires the ""Weapon Refit"" research, available at the Fusion Core. Costs 150 minerals, 150 vespene gas, and requires 60 seconds to research."|||||||||
Behemoth Reactor|sc2_1028|sc2|1028|Increases the starting energy of the Battlecruiser by 25. Available to research at the Fusion Core. Costs 150 minerals, 150 vespene gas, and takes 80 second to research.|||||||||
Lift Off|sc2_0800|sc1|||||||||||
Scanner Sweep|sc2_0801|sc1|||||||||||
Defensive Matrix|sc2_0802|sc1|||||||||||
Burrow|sc2_0803|sc1|||||||||||
Consume|sc2_0804|sc1|||||||||||
Dark Swarm|sc2_0805|sc1|||||||||||
Ensnare|sc2_0806|sc1|||||||||||
Spawn Broodling|sc2_0807|sc1|||||||||||
Plague|sc2_0808|sc1|||||||||||
Psionic Storm|sc2_0809|sc1|||||||||||
Mind Control|sc2_0810|sc1|||||||||||
MaelStrom|sc2_0811|sc1|||||||||||
Recall|sc2_0812|sc1|||||||||||
Feedback|sc2_0813|sc1|||||||||||
Hallucination|sc2_0814|sc1|||||||||||
Stasis Field|sc2_0815|sc1|||||||||||
Psionic Transfer|sc2_0816|sc2|||||||||||
Guardian Shield|sc2_0817|sc2|||||||||||
Warp-in|sc2_0818|sc2|||||||||||
Planet Cracker|sc2_0819|sc2|||||||||||
